section,metric,value,threshold,n_cells_removed,min,q25,median,q75,max,step,cluster,n_cells,pct_cells,assigned_type,top_markers,bulk_majority,bulk_majority_fraction
overview,input_h5ad,/Users/totota/.purescience-project/runtime/envs/default-python/lib/python3.12/site-packages/scanpy/datasets/10x_pbmc68k_reduced.h5ad,,,,,,,,,,,,,,,
overview,n_cells,700,,,,,,,,,,,,,,,
overview,n_genes,765,,,,,,,,,,,,,,,
overview,scanpy_version,1.12.3,,,,,,,,,,,,,,,
overview,seed,42,,,,,,,,,,,,,,,
overview,X_dtype,float32,,,,,,,,,,,,,,,
overview,X_is_scaled,True,,,,,,,,,,,,,,,
overview,raw_present,True,,,,,,,,,,,,,,,
overview,obs_annotation_columns,bulk_labels,,,,,,,,,,,,,,,
overview,bulk_labels_categories,"CD4+/CD25 T Reg,CD4+/CD45RA+/CD25- Naive T,CD4+/CD45RO+ Memory,CD8+ Cytotoxic T,CD8+/CD45RA+ Naive Cytotoxic,CD14+ Monocyte,CD19+ B,CD34+,CD56+ NK,Dendritic",,,,,,,,,,,,,,,
filtering,n_cells_before,700,,,,,,,,,,,,,,,
filtering,n_cells_after,700,,,,,,,,,,,,,,,
filtering,n_cells_removed,0,,,,,,,,,,,,,,,
filtering,n_genes_before,765,,,,,,,,,,,,,,,
filtering,n_genes_after,765,,,,,,,,,,,,,,,
filtering,rules,min_genes>=200 & min_counts>=500 & mito%<=10.0,,,,,,,,,,,,,,,
filtering_sensitivity,,,min_genes=200,0.0,,,,,,,,,,,,,
filtering_sensitivity,,,min_counts=500,0.0,,,,,,,,,,,,,
filtering_sensitivity,,,min_genes=1000,0.0,,,,,,,,,,,,,
filtering_sensitivity,,,min_counts=1000,0.0,,,,,,,,,,,,,
filtering_sensitivity,,,min_counts=2000,0.0,,,,,,,,,,,,,
filtering_sensitivity,,,max_mito_pct=2.0,188.0,,,,,,,,,,,,,
filtering_sensitivity,,,max_mito_pct=5.0,0.0,,,,,,,,,,,,,
filtering_sensitivity,,,max_mito_pct=20.0,0.0,,,,,,,,,,,,,
qc_distribution,n_genes,,,,1001.0,1051.0,1129.5,1250.0,2605.0,,,,,,,,
qc_distribution,n_counts,,,,2141.0,2933.75,3333.5,3819.25,9497.0,,,,,,,,
qc_distribution,mito_pct,,,,0.4841713309288025,1.3700434565544128,1.6706379055976868,2.0341160893440247,4.004215240478516,,,,,,,,
pipeline_params,,200,,,,,,,,qc_min_genes,,,,,,,
pipeline_params,,500,,,,,,,,qc_min_counts,,,,,,,
pipeline_params,,10.0,,,,,,,,qc_max_mito_pct,,,,,,,
pipeline_params,,10000.0,,,,,,,,normalize_target_sum,,,,,,,
pipeline_params,,500,,,,,,,,hvg_n_top_genes,,,,,,,
pipeline_params,,seurat,,,,,,,,hvg_flavor,,,,,,,
pipeline_params,,10.0,,,,,,,,scale_max_value,,,,,,,
pipeline_params,,50,,,,,,,,pca_n_comps,,,,,,,
